Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
Q04401,"Acetate non-utilizing protein 9, mitochondrial",ACN9,YDR511W,4,4,46.6,1.08E-76,747.5175678
P38181,Nucleoporin NUP170,NUP170,YBL079W,29,29,25.2,2.70E-258,747.626656
P40002,Uncharacterized protein YEL007W,YEL007W,YEL007W,6,6,18.2,7.57E-54,748.3155437
P31755,"Initiation-specific alpha-1,6-mannosyltransferase",OCH1,YGL038C,6,6,18.3,5.72E-28,748.9607322
P38121,DNA polymerase alpha subunit B,POL12,YBL035C,15,15,31.8,1.61E-136,751.0002872
P53172,Protein SDS23,SDS23,YGL056C,9,9,41.9,3.21E-70,753.7838987
P32660,Phospholipid-transporting ATPase DNF1,DNF1,YER166W,25,21,24.4,3.22E-236,754.4507007
P52489,Pyruvate kinase 2,PYK2,YOR347C,6,6,18.4,3.89E-68,754.8115783
Q12324,Calcium channel YVC1,YVC1,YOR087W,9,9,19.1,4.81E-78,758.925948
P53879,GTP-binding protein RHO5,RHO5,YNL180C,7,7,26.9,2.75E-26,760.0459613
P43556,Rho-GTPase-activating protein RGD2,RGD2,YFL047W,23,23,35.3,3.91E-203,762.8687705
P46959,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61,GCD14,YJL125C,8,8,26.4,1.70E-69,763.6037644
P09620,Pheromone-processing carboxypeptidase KEX1,KEX1,YGL203C,20,20,32.4,2.18E-184,764.2447099
P53729,Uncharacterized protein YNR029C,,YNR029C,9,9,31.7,4.29E-54,764.5606184
P46675,Protein STU2,STU2,YLR045C,31,31,42.9,2.47E-206,764.8536955
P40091,Protein PEA2,PEA2,YER149C,10,10,31.9,2.14E-100,765.1182896
Q06188,PWWP domain-containing protein YLR455W,YLR455W,YLR455W,9,9,37.8,5.25E-58,766.5905183
P10823,Guanine nucleotide-binding protein alpha-2 subunit,GPA2,YER020W,7,7,17.6,1.15E-54,767.2456641
P50945,"Altered inheritance of mitochondria protein 37, mitochondrial",AIM37,YNL100W,5,5,20.1,9.68E-19,767.2675028
P33891,Protein transport protein TIP20,TIP20,YGL145W,25,25,43.4,6.43E-138,767.8119647
P39927,Protein PTI1,PTI1,YGR156W,6,6,20.9,1.99E-64,769.2232475
Q03834,DNA mismatch repair protein MSH6,MSH6,YDR097C,24,24,23.1,4.31E-130,769.4965741
Q02555,Ribonuclease 3,RNT1,YMR239C,12,12,35.5,1.45E-136,770.251155
P46984,Protein GON7,GON7,YJL184W,2,2,13,5.36E-20,771.2305697
P32767,Importin beta-like protein KAP122,KAP122,YGL016W,17,17,21.3,1.61E-131,772.7464361
P40989,"1,3-beta-glucan synthase component GSC2",GSC2,YGR032W,22,10,20.3,0,775.99447
Q12245,Proteasome chaperone 4,POC4,YPL144W,3,3,17.6,2.40E-21,776.3845421
Q12030,Transcription initiation factor TFIID subunit 10,TAF10,YDR167W,3,3,28.2,6.76E-30,776.8521273
P38922,Protein HRB1,HRB1,YNL004W,7,7,17.4,1.60E-34,777.0944456
P36102,PAB-dependent poly(A)-specific ribonuclease subunit PAN3,PAN3,YKL025C,14,14,26.4,2.76E-79,778.1267081
P53196,26S proteasome regulatory subunit RPN14,RPN14,YGL004C,11,11,38.6,7.14E-59,778.8901021
P36162,DASH complex subunit DAD2,DAD2,YKR083C,4,4,36.1,2.96E-61,779.925975
P48365,GTPase-activating protein GYP7,GYP7,YDL234C,12,12,24.7,1.64E-197,780.0941287
P32465,Low-affinity glucose transporter HXT1,HXT1,YHR094C,7,6,18.6,1.94E-94,780.4426724
P46673,Nucleoporin NUP85,NUP85,YJR042W,16,16,33.6,7.91E-152,781.1135456
P32342,Signal recognition particle subunit SRP21,SRP21,YKL122C,2,2,20.4,1.04E-81,781.8757083
P53115,Putative DNA helicase INO80,INO80,YGL150C,34,34,28.1,1.23E-281,782.6145287
P52920,Cytosolic Fe-S cluster assembly factor NBP35,NBP35,YGL091C,7,7,35.1,1.10E-49,784.0613918
P11747,Transcription initiation factor TFIID subunit 13,TAF13,YML098W,3,3,18.6,3.05E-18,786.4022248
P25369,LAS seventeen-binding protein 5,LSB5,YCL034W,4,4,13.6,6.99E-19,786.5355172
P53965,Tyrosine-protein phosphatase SIW14,SIW14,YNL032W,8,8,42.7,2.70E-73,787.6935975
P32329,Aspartic proteinase 3;Aspartic proteinase 3 subunit alpha;Aspartic proteinase 3 subunit beta,YPS1,YLR120C,3,3,5.1,6.29E-11,788.7923647
P40079,U3 small nucleolar ribonucleoprotein protein LCP5,LCP5,YER127W,9,9,27.7,1.02E-71,790.3314045
P38771,"Ribosome-recycling factor, mitochondrial",RRF1,YHR038W,8,8,40.4,6.64E-28,793.1270936
P40018,Small nuclear ribonucleoprotein-associated protein B,SMB1,YER029C,3,3,16.3,1.85E-33,798.0216601
Q08685,Protein CLP1,CLP1,YOR250C,7,7,23.1,9.95E-40,798.2417034
Q12429,Putative ribonuclease YLR143W,,YLR143W,18,18,36.1,3.51E-151,798.3422762
P53953,SED5-binding protein 2,SFB2,YNL049C,11,11,15.9,3.96E-58,798.4298228
P48439,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3,OST3,YOR085W,4,4,14.6,4.84E-28,798.6878307
P07236,"Threonine--tRNA ligase, mitochondrial",MST1,YKL194C,15,15,38.3,4.80E-108,799.6183209
P24279,DNA replication licensing factor MCM3,MCM3,YEL032W,14,14,22.5,1.92E-126,800.3659412
P36533,"54S ribosomal protein L39, mitochondrial",MRPL39,YML009C,1,1,21.4,2.89E-06,800.9785223
P31374,Serine/threonine-protein kinase PSK1,PSK1,YAL017W,34,30,31.4,5.20E-261,801.9673263
P23291,Casein kinase I homolog 1,YCK1,YHR135C,12,10,28.6,9.96E-133,802.806534
P53215,tRNA(His) guanylyltransferase,THG1,YGR024C,4,4,17.7,8.98E-17,802.934148
Q08961,Ribosomal N-lysine methyltransferase 1,RKM1,YPL208W,16,16,32.8,2.81E-86,805.4747742
P39103,Cytochrome c oxidase assembly protein COX14,COX14,YML129C,2,2,40,8.51E-36,806.2689293
Q08444,20S-pre-rRNA D-site endonuclease NOB1,NOB1,YOR056C,8,8,21.6,2.39E-35,809.194736
Q03735,RNA-binding protein NAB6,NAB6,YML117W,18,18,24.1,1.52E-221,810.125129
P34232,mRNA transport regulator MTR2,MTR2,YKL186C,3,3,25,3.20E-14,810.4359251
P42936,Putative elongation factor 1 gamma homolog,,YGR201C,7,7,39.1,1.16E-56,811.1593742
Q03281,Inner nuclear membrane protein HEH2,HEH2,YDR458C,15,15,28.8,6.34E-139,811.2434469
P40858,"54S ribosomal protein L49, mitochondrial",MRPL49,YJL096W,4,4,37.3,2.99E-47,811.7964679
Q04177,U3 small nucleolar RNA-associated protein 5,UTP5,YDR398W,10,10,23.3,6.58E-93,812.6671061
P53100,Putative 2-hydroxyacid dehydrogenase YGL185C,,YGL185C,12,12,58.8,1.81E-101,814.7871422
P40486,Protein SHQ1,SHQ1,YIL104C,15,15,35.9,7.10E-120,814.919964
P00912,N-(5-phosphoribosyl)anthranilate isomerase,TRP1,YDR007W,3,3,25,1.57E-37,815.2919365
Q12153,Ribosome biogenesis protein SSF2,SSF2,YDR312W,11,4,28.9,1.71E-68,817.4347569
P43579,Ino eighty subunit 1,IES1,YFL013C,18,18,38,6.53E-107,818.7346931
P36148,Glycerol-3-phosphate O-acyltransferase 2,GPT2,YKR067W,16,16,25.2,2.27E-92,819.1098248
P38753,Class E vacuolar protein-sorting machinery protein HSE1,HSE1,YHL002W,10,10,31,2.20E-127,819.6655661
P12630,Barrierpepsin,BAR1,YIL015W,5,5,10.4,2.61E-59,819.9531501
P53101,Cystathionine beta-lyase,STR3,YGL184C,10,10,32.7,8.25E-88,820.6916073
P47061,Vacuolar protein sorting-associated protein 53,VPS53,YJL029C,24,24,39.8,3.18E-211,823.1534581
Q04477,Kinetochore protein SPC24,SPC24,YMR117C,9,9,63.4,2.52E-49,825.4914326
P25044,Tyrosine-protein phosphatase 1,PTP1,YDL230W,8,8,30.7,4.46E-39,825.6860823
Q3E7B2,"Cytochrome oxidase assembly protein 3, mitochondrial",COA3,YJL062W-A,3,3,35.3,3.89E-10,826.1761308
P40452,Cytochrome oxidase assembly protein 1,COA1,YIL157C,3,3,20.3,4.13E-26,826.1800067
P36159,Ribonuclease Z,TRZ1,YKR079C,22,22,38.5,1.06E-169,828.9861917
P21771,"37S ribosomal protein S28, mitochondrial",MRPS28,YDR337W,7,7,26.2,2.76E-26,829.534744
Q08924,Regulator of Ty1 transposition protein 10,RTT10,YPL183C,24,24,40.6,1.79E-271,829.744454
Q07540,"Frataxin homolog, mitochondrial;Frataxin homolog intermediate form",YFH1,YDL120W,1,1,6.3,1.06E-12,830.726796
Q08202,Protein OPI10,OPI10,YOL032W,5,5,22.8,1.32E-27,832.7657492
P53217,Uncharacterized membrane protein YGR026W,YGR026W,YGR026W,4,4,14.4,1.30E-13,833.3695618
P40210,Protein SIP5,SIP5,YMR140W,10,10,33.5,1.27E-73,833.4401374
Q12291,Uncharacterized protein YLR063W,,YLR063W,10,10,34.8,1.20E-100,834.9205063
P39006,"Phosphatidylserine decarboxylase proenzyme 1, mitochondrial;Phosphatidylserine decarboxylase 1 beta chain;Phosphatidylserine decarboxylase 1 alpha chain",PSD1,YNL169C,8,8,21.6,3.10E-165,836.4078869
P40470,Regulator of rDNA transcription protein 14,RRT14,YIL127C,6,6,33.5,2.65E-45,836.9549841
Q02767,Vacuolar protein sorting-associated protein 28,VPS28,YPL065W,7,7,42.1,1.13E-105,837.5223116
P38881,Nucleus-vacuole junction protein 1,NVJ1,YHR195W,11,11,51.7,8.49E-90,837.9578502
P53130,Heterotrimeric G protein gamma subunit GPG1,GPG1,YGL121C,1,1,18.3,0.0022115,839.3445779
P46970,Nonsense-mediated mRNA decay protein 5,NMD5,YJR132W,18,18,22.5,2.97E-105,840.7217315
P0CH09;P0CH08,Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40,RPL40B;RPL40A,YIL148W;YKR094C;YIL148W;YKR094C,7,1,52.3,5.24E-177,840.9343891
P38768,Protein interacting with Hsp90 1,PIH1,YHR034C,8,8,31.4,6.32E-30,841.207685
P32805,Zinc finger protein FZF1,FZF1,YGL254W,10,10,48.5,6.14E-62,842.3846258
Q03976,"37S ribosomal protein S24, mitochondrial",RSM24,YDR175C,6,6,29.5,8.72E-51,843.2354407
P36090,Uncharacterized protein YKL047W,,YKL047W,17,17,47.3,5.09E-136,843.397752
P50896,Protein PSP1,PSP1,YDR505C,12,11,18.8,6.41E-89,844.7322768
P36120,ATP-dependent RNA helicase DBP7,DBP7,YKR024C,20,20,38.8,1.86E-101,846.3519174
P53959,Conserved oligomeric Golgi complex subunit 6,COG6,YNL041C,24,24,34,2.17E-146,846.7004369
Q03496,Uncharacterized protein YMR259C,,YMR259C,35,35,30.2,0,846.9375405
Q03723,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST6,OST6,YML019W,5,5,29.5,3.28E-75,849.2693387
Q12451,Oxysterol-binding protein homolog 2,OSH2,YDL019C,37,37,33.1,9.60E-212,849.7400814
Q99385,Vacuolar calcium ion transporter,VCX1,YDL128W,1,1,4.9,2.34E-15,850.9650189
P40350,Dolichyl-phosphate beta-glucosyltransferase,ALG5,YPL227C,8,8,23.7,1.85E-39,851.0308213
P25635,Periodic tryptophan protein 2,PWP2,YCR057C,18,18,28.8,1.59E-127,852.7428597
P38066,GTP cyclohydrolase-2,RIB1,YBL033C,7,7,32.8,8.75E-35,853.8414892
P38120,"37S ribosomal protein S9, mitochondrial",MRPS9,YBR146W,9,9,49.6,2.81E-59,854.9168954
Q12455,Spermine synthase,SPE4,YLR146C,5,5,26.3,3.71E-50,856.1205614
Q06839,PX domain-containing protein YPR097W,YPR097W,YPR097W,21,21,24.8,1.11E-211,856.145124
P18900,"Hexaprenyl pyrophosphate synthase, mitochondrial",COQ1,YBR003W,14,14,32.6,1.85E-74,857.9197256
P36526,"54S ribosomal protein L27, mitochondrial",MRPL27,YBR282W,4,4,39.7,8.16E-18,860.3952989
P27801,Vacuolar membrane protein PEP3,PEP3,YLR148W,29,29,37.1,1.16E-222,860.5897391
P53107,Ran-specific GTPase-activating protein 30,YRB30,YGL164C,16,16,43.2,3.59E-145,861.2913929
Q12241,Syntaxin VAM3,VAM3,YOR106W,8,8,45.2,4.63E-92,862.098709
P38342,3-ketodihydrosphingosine reductase TSC10,TSC10,YBR265W,7,7,28.4,2.23E-81,862.5885838
P53174;P39551,Pheromone-regulated membrane protein 8;Pheromone-regulated membrane protein 9,PRM8;PRM9,YAR031W;YGL053W,7,6,49.4,2.73E-30,863.4071195
Q08224,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20,THI20,YOL055C,18,16,48.8,8.43E-118,863.6170912
P38072,"Protein SCO2, mitochondrial",SCO2,YBR024W,5,5,27.9,1.03E-79,863.7277463
P14693,Sorting assembly machinery 35 kDa subunit,SAM35,YHR083W,7,7,28.6,9.64E-44,865.1248518
P40986,Cell division control protein 1,CDC1,YDR182W,7,7,18.9,5.24E-41,865.1909799
P53973,Histone deacetylase HDA1,HDA1,YNL021W,17,17,31.7,2.16E-141,866.7423552
P32629,Mannan polymerase II complex ANP1 subunit,ANP1,YEL036C,8,8,27.6,4.65E-105,867.3322245
P40006,Increased recombination centers protein 22,IRC22,YEL001C,4,4,5.8,2.23E-28,868.2739533
P36040,Proteasome assembly chaperone 2,ADD66,YKL206C,5,5,27.7,1.24E-50,869.2903226
Q08230,"Succinate dehydrogenase assembly factor 2, mitochondrial",EMI5,YOL071W,5,5,27.8,4.20E-21,869.5672986
P53178,UDP-N-acetylglucosamine transferase subunit ALG13,ALG13,YGL047W,5,5,46,3.54E-87,870.0470344
P22135,"Protein ATP12, mitochondrial",ATP12,YJL180C,13,13,48.6,9.75E-51,870.6507907
Q04934,Protein IVY1,IVY1,YDR229W,6,6,23.6,1.17E-146,871.8618608
P32773,Transcription initiation factor IIA large subunit,TOA1,YOR194C,5,5,25.2,1.69E-66,876.3097068
Q03778,Riboflavin kinase,FMN1,YDR236C,5,5,28.4,1.52E-27,876.4172338
P38236,Protein MUM2,MUM2,YBR057C,12,12,47,5.85E-121,876.7111257
Q12362,"Bifunctional protein RIB2;tRNA pseudouridine(32) synthase, cytoplasmic;Diaminohydroxyphosphoribosylaminopyrimidine deaminase",RIB2,YOL066C,14,14,31.8,3.30E-101,878.0984754
P40098,Uncharacterized mitochondrial membrane protein FMP10,FMP10,YER182W,7,7,31.6,6.19E-28,878.8025814
Q03497,Serine/threonine-protein kinase STE20,STE20,YHL007C,29,29,41.5,1.04E-186,879.4808594
Q12206,Transcriptional modulator WTM2,WTM2,YOR229W,11,11,34.7,4.12E-65,879.9787719
P51534,SWI5-dependent HO expression protein 4,SHE4,YOR035C,16,16,33,1.67E-121,880.5662674
P04803,"Tryptophan--tRNA ligase, mitochondrial",MSW1,YDR268W,9,9,36.7,1.01E-62,881.7651938
P32491,MAP kinase kinase MKK2/SSP33,MKK2,YPL140C,11,11,27.5,3.83E-53,882.2482792
P53604,Protein MSO1,MSO1,YNR049C,6,6,38.6,1.81E-32,883.4252425
P40558,Cytosolic Fe-S cluster assembly factor CFD1,CFD1,YIL003W,7,7,40.3,3.54E-64,883.9880808
P32802,Transmembrane 9 superfamily member 1;Protein p24a,EMP70,YLR083C,7,7,17.5,4.18E-100,886.1118895
P53262,V0 assembly protein 1,VOA1,YGR106C,2,2,9.8,3.11E-60,886.7281881
P12686,"37S ribosomal protein MRP13, mitochondrial",MRP13,YGR084C,6,6,18.9,3.84E-28,888.2905893
Q06522,Uncharacterized protein YPR147C,YPR147C,YPR147C,8,8,28,4.12E-27,888.3839824
Q08634,Uncharacterized protein YOR238W,YOR238W,YOR238W,11,11,46.5,1.69E-52,890.585139
P32902,"37S ribosomal protein MRP4, mitochondrial",MRP4,YHL004W,8,8,34.3,1.66E-84,891.9356485
P53336,Uncharacterized protein YGR283C,YGR283C,YGR283C,8,8,29.6,6.28E-89,894.4333686
Q12432,Chromatin modification-related protein EAF3,EAF3,YPR023C,11,11,36.7,2.73E-67,895.9974793
P53326,Uncharacterized protein YGR266W,YGR266W,YGR266W,13,13,22.4,8.68E-53,897.3781913
P00331,Alcohol dehydrogenase 2,ADH2,YMR303C,9,5,23.3,7.72E-113,897.8567882
Q04500,U3 small nucleolar RNA-associated protein 14,UTP14,YML093W,16,16,25.3,4.61E-117,898.3978936
P43561,Iron transport multicopper oxidase FET5,FET5,YFL041W,6,6,14.5,3.05E-38,899.1517242
P40011,Uncharacterized protein YER010C,YER010C,YER010C,3,3,22.2,8.10E-65,899.9612022
P32904,"54S ribosomal protein L6, mitochondrial",MRPL6,YHR147C,7,7,36.9,1.81E-36,900.3631421
P12383,Transcription factor PDR1,PDR1,YGL013C,17,17,24,1.13E-131,900.8338048
P38784,Vacuolar ATPase assembly protein VMA22,VMA22,YHR060W,5,5,43.1,5.72E-47,902.5240828
Q03921,Protein dopey,DOP1,YDR141C,37,37,27.7,4.97E-303,905.2594053
P35181,AP-1 complex subunit sigma-1,APS1,YLR170C,5,5,42.3,1.19E-69,907.5152638
P38869,Protein SVP26,SVP26,YHR181W,3,3,14.9,8.10E-39,909.3945481
Q04311,Protein VMS1,VMS1,YDR049W,17,17,32.8,1.65E-154,910.0545908
P32569,Mediator of RNA polymerase II transcription subunit 17,SRB4,YER022W,21,21,40.2,6.16E-157,910.2192854
P43682,Protein transport protein SFT1,SFT1,YKL006C-A,2,2,22.7,1.65E-17,910.4515434
P36048,Pre-mRNA-splicing factor SNU114,SNU114,YKL173W,30,30,34.6,9.74E-170,913.133029
P38291,Ribonucleases P/MRP protein subunit POP7,POP7,YBR167C,4,4,31.4,3.40E-26,913.140604
P25808,ATP-dependent rRNA helicase SPB4,SPB4,YFL002C,16,16,32.5,1.84E-70,913.3156549
Q08968,UPF0061 protein FMP40,FMP40,YPL222W,20,20,40.3,5.29E-101,913.6685666
P53128,Methylenetetrahydrofolate reductase 2,MET13,YGL125W,11,11,26,1.78E-155,914.3677602
Q02820,Non-classical export protein 1,NCE101,YJL205C,1,1,18.9,0.0022583,915.3402237
Q06677,Auxilin-like clathrin uncoating factor SWA2,SWA2,YDR320C,15,15,31.4,4.31E-120,915.3622222
P23642,Mannan polymerase I complex VAN1 subunit,VAN1,YML115C,10,10,37.2,9.46E-124,916.91892
Q04307,DNA-directed RNA polymerase III subunit RPC10,RPC11,YDR045C,1,1,15.5,1.40E-37,917.283186
P38237,Ubiquitin carboxyl-terminal hydrolase 14,UBP14,YBR058C,13,13,21,1.72E-60,924.3913695
P33308,Mediator of RNA polymerase II transcription subunit 9,CSE2,YNR010W,5,5,40.3,3.57E-63,924.9116039
Q12181,Probable NADPH reductase TAH18,TAH18,YPR048W,17,17,34.8,4.70E-96,925.285008
Q04670,Transposon Ty1-MR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-MR2,YMR050C,45,0,40.5,0,926.1747204
Q12676,Folylpolyglutamate synthase,FOL3,YMR113W,7,7,27.6,1.21E-52,926.2012124
P40958,Mitotic spindle checkpoint component MAD2,MAD2,YJL030W,8,8,30.6,1.69E-24,927.691171
P32341,Vacuolar ATPase assembly integral membrane protein VPH2,VPH2,YKL119C,7,7,36.7,1.85E-86,928.5469641
P36973,Adenine phosphoribosyltransferase 2,APT2,YDR441C,4,4,34.3,1.16E-35,929.4175624
P38970,Serine/threonine-protein kinase HAL5,HAL5,YJL165C,21,21,33.5,4.91E-174,930.4762792
Q06688,SRR1-like protein BER1,BER1,YLR412W,8,8,37.6,1.64E-54,932.0077582
Q05827,Protein HOR7,HOR7,YMR251W-A,1,1,22,8.08E-06,933.6833384
P11433,Cell division control protein 24,CDC24,YAL041W,22,22,32.1,8.94E-164,934.4716643
Q12690,60S ribosomal protein L13-A,RPL13A,YDL082W,4,1,12.6,5.01E-14,934.5216263
P24583,Protein kinase C-like 1,PKC1,YBL105C,27,27,30.8,1.39E-196,934.6857907
P53277,Pre-mRNA-splicing factor SYF2,SYF2,YGR129W,6,6,31.2,5.00E-29,936.2713896
P53114,Mediator of RNA polymerase II transcription subunit 5,NUT1,YGL151W,24,24,33,9.35E-221,936.8497254
Q12453,Cytoplasmic export protein 1,CEX1,YOR112W,22,22,35.9,5.97E-139,937.096579
Q00684,Tyrosine-protein phosphatase CDC14,CDC14,YFR028C,9,9,29.2,6.85E-77,937.6176571
P23369,"54S ribosomal protein L25, mitochondrial",MRPL25,YGR076C,5,5,34.4,2.18E-14,939.7672024
Q3E6R5,Uncharacterized mitochondrial outer membrane protein YDR381C-A,YDR381C-A,YDR381C-A,5,5,48.2,4.04E-23,940.7910897
P25627,Putative methyltransferase BUD23,BUD23,YCR047C,4,4,20.7,1.12E-51,941.043906
Q3E785,"Succinate dehydrogenase assembly factor 1 homolog, mitochondrial",,YDR379C-A,3,3,54.4,5.35E-22,944.0645964
P38304,Mediator of RNA polymerase II transcription subunit 8,MED8,YBR193C,6,6,30.9,5.72E-37,945.3811232
P34163,Sterol esterase TGL1,TGL1,YKL140W,12,12,34.5,3.19E-108,946.3733489
Q12213,60S ribosomal protein L7-B,RPL7B,YPL198W,12,1,66.4,0,947.8988549
Q03435,Non-histone protein 10,NHP10,YDL002C,4,4,22.7,4.35E-40,948.5870829
Q02959,Histone deacetylase HOS3,HOS3,YPL116W,17,17,38,2.60E-145,948.9225867
P36525,"54S ribosomal protein L24, mitochondrial",MRPL24,YMR193W,13,13,47.7,5.12E-70,952.3387863
Q03429,"Mitochondrial zinc maintenance protein 1, mitochondrial",MZM1,YDR493W,1,1,14.6,1.69E-15,957.4035869
P36054,Calcipressin-like protein,RCN1,YKL159C,4,4,34.1,9.03E-49,962.6152275
P15938,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,PRP16,YKR086W,13,13,15.6,1.64E-65,963.6162054
P16892,Mitogen-activated protein kinase FUS3,FUS3,YBL016W,5,5,19.3,3.50E-17,964.3725429
Q05583,Cytosolic iron-sulfur protein assembly protein 1,CIA1,YDR267C,7,7,31.5,2.22E-129,966.8569932
Q04924,Glucosidase 2 subunit beta,GTB1,YDR221W,16,16,28.6,6.09E-149,967.5072388
P40957,Spindle assembly checkpoint component MAD1,MAD1,YGL086W,27,27,44.6,7.50E-258,968.7270868
Q03516,Uncharacterized protein RSN1,RSN1,YMR266W,21,21,21.5,2.49E-96,969.0370921
P28239,"Inorganic pyrophosphatase, mitochondrial",PPA2,YMR267W,9,9,43.9,1.09E-76,972.1153584
Q05931,"Heat shock protein SSQ1, mitochondrial",SSQ1,YLR369W,19,19,43.2,1.41E-141,973.1081377
P53152,Ubiquitin-conjugating enzyme variant MMS2,MMS2,YGL087C,3,3,46,9.36E-31,973.5160946
P25299,mRNA 3-end-processing protein RNA15,RNA15,YGL044C,4,4,30.7,3.57E-64,973.9953932
P18496,Mitochondrial ATPase complex subunit ATP10,ATP10,YLR393W,9,9,35.8,5.07E-49,974.2965786
P33441,THO complex subunit MFT1,MFT1,YML062C,15,15,53.3,1.11E-129,974.7126821
P22276,DNA-directed RNA polymerase III subunit RPC2,RET1,YOR207C,30,29,31.3,1.97E-175,975.6871242
P38829,MIP18 family protein YHR122W,YHR122W,YHR122W,5,5,35.5,2.89E-47,976.4858314
P40060,Ino eighty subunit 5,IES5,YER092W,5,5,60.8,7.04E-28,978.552941
Q03503,N-alpha-acetyltransferase 30,MAK3,YPR051W,4,4,20.5,1.81E-27,978.7934636
Q06689,Cell membrane protein YLR413W,YLR413W,YLR413W,5,5,10.2,5.64E-36,981.4906824
Q04279,Uncharacterized protein YMR086W,,YMR086W,26,26,37.7,2.77E-248,981.6965972
P45976,Pre-mRNA polyadenylation factor FIP1,FIP1,YJR093C,6,6,30,1.51E-114,981.8100664
P40066,Nucleoporin GLE2,GLE2,YER107C,5,5,23.6,4.53E-71,984.296615
P40994,ADP-ribosylation factor 3,ARF3,YOR094W,6,6,34.4,4.57E-24,986.3952011
P36519,"54S ribosomal protein L7, mitochondrial",MRPL7,YDR237W,6,6,34.9,1.09E-97,988.135354
Q08925,RNA-binding protein MRN1,MRN1,YPL184C,7,7,18.3,1.14E-107,988.5158029
P32898,Mitochondrial presequence protease,CYM1,YDR430C,33,33,43.9,3.85E-217,988.7727766
Q12331,FAS1 domain-containing protein YDR262W,,YDR262W,8,8,43,5.90E-72,990.7802938
P39993,ARF guanine-nucleotide exchange factor 2,GEA2,YEL022W,38,38,31.1,1.03E-223,991.7695359
P32528,Urea amidolyase;Urea carboxylase;Allophanate hydrolase,"DUR1,2",YBR208C,47,47,33.9,4.31E-268,992.3625869
P32453,"Protein ATP11, mitochondrial",ATP11,YNL315C,8,8,28,2.33E-56,992.9692193
P47123,Nuclear import protein MOG1,MOG1,YJR074W,4,4,24.3,2.75E-43,993.2810377
Q06678,"54S ribosomal protein L35, mitochondrial",MRPL35,YDR322W,10,10,41.4,1.34E-56,993.8293786
Q03790,Nucleoporin NUP53,NUP53,YMR153W,15,15,38.9,1.13E-73,996.1695656
Q3E840,Diphthamide biosynthesis protein 3,KTI11,YBL071W-A,2,2,47.6,3.52E-21,997.2889365
P32776,RNA polymerase II transcription factor B subunit 1,TFB1,YDR311W,20,20,39.9,4.77E-191,998.0446101
Q03656,Serine/threonine-protein kinase SKY1,SKY1,YMR216C,17,17,30.5,3.73E-142,998.8588833
Q12500,Late secretory pathway protein AVL9,AVL9,YLR114C,20,20,37.2,0,1000.428607
P32857,Membrane protein PTM1,PTM1,YKL039W,4,4,7.6,1.69E-26,1001.684868
P40022,Uncharacterized protein YER034W,YER034W,YER034W,4,4,33,2.19E-64,1003.942059
Q08581,Kinetochore protein SLK19,SLK19,YOR195W,31,31,48.1,2.02E-265,1004.630592
Q12494,Inositol hexakisphosphate kinase 1,KCS1,YDR017C,27,27,33.9,2.57E-146,1005.031882
P40487,Diphthamide biosynthesis protein 1,DPH1,YIL103W,11,11,29.4,4.38E-55,1005.748392
P53898,Protein NSG2,NSG2,YNL156C,4,4,14.7,1.59E-21,1005.848588
Q06639,Chromatin structure-remodeling complex protein RSC3,RSC3,YDR303C,23,23,31.5,8.44E-120,1014.634053
P14747,Serine/threonine-protein phosphatase 2B catalytic subunit A2,CMP2,YML057W,9,8,21.9,6.68E-81,1016.146782
P36157,Putative transcriptional activator MSA2,MSA2,YKR077W,2,2,7.2,1.39E-09,1016.917756
Q12099,ATP-dependent RNA helicase FAL1,FAL1,YDR021W,13,13,40.9,4.79E-66,1017.319711
P32906,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",MNS1,YJR131W,8,8,27.9,1.72E-76,1017.876565
P38803,Pre-rRNA-processing protein IPI1,IPI1,YHR085W,10,10,31.4,3.75E-67,1019.540685
P47064,AP-3 complex subunit sigma,APS3,YJL024C,3,3,13.4,9.98E-15,1019.830103
P31377,Syntaxin-8,SYN8,YAL014C,5,5,28.2,2.45E-47,1022.097642
P23202,Transcriptional regulator URE2,URE2,YNL229C,3,3,15.3,1.33E-75,1023.585437
P53923,Cytoplasmic tRNA 2-thiolation protein 2,NCS2,YNL119W,14,14,42.8,6.26E-137,1026.397142
Q12063,Probable undecaprenyl pyrophosphate synthase,NUS1,YDL193W,6,6,24.5,1.15E-80,1026.94253
P53972,Uncharacterized protein YNL022C,,YNL022C,18,18,53.5,1.90E-93,1027.460922
P38331,HD domain-containing protein YBR242W,,YBR242W,8,8,46.2,5.98E-66,1028.308817
P40064,Nucleoporin NUP157,NUP157,YER105C,28,28,32.7,7.97E-287,1029.191905
Q06090,"54S ribosomal protein L51, mitochondrial",MRPL51,YPR100W,2,2,26.4,2.49E-21,1030.947604
