Protein IDs,Protein name,Gene name,Uniprot,Peptides,Razor Peptides,Unique Peptides,Sequence Coverage [%],Mol. Weight [kDa],PEP,Intensity Exp1,Intensity Exp2,Intensity Exp3,,
YBR172C,Protein SMY2;Suppressor of MYO2-66 protein,SMY2;YBR1233;YBR172C,P32909,6,6,6,11.6,81.4,1.2E-162,3.9E+06,2.2E+06,1.3E+06,,
YNL166C,Bud neck protein 5,BNI5;N1706;YNL166C,P53890,6,6,6,22.5,49.7,1.7E-244,2.0E+06,2.8E+06,1.3E+06,,
YKL047W,Uncharacterized protein YKL047W,YKL047W;YKL260,P36090,8,8,8,19.2,58.9,7.7E-144,2.4E+06,2.5E+06,1.3E+06,,
YKL122C,Signal recognition particle 21 kDa protein;Signal recognition particle subunit SRP21,SRP21;YKL122C;YKL527,P32342,3,3,3,32.3,18.4,7.0E-32,2.3E+06,4.0E+06,1.3E+06,,
YBR205W,Probable mannosyltransferase KTR3,KTR3;YBR1445;YBR205W,P38130,6,6,6,18.8,47.5,2.2E-27,5.2E+06,9.9E+06,1.3E+06,,
YLR262C,GTP-binding protein YPT6,L8479.11;YLR262C;YPT6,Q99260,4,4,4,22.8,24.4,7.9E-27,1.3E+07,5.4E+06,1.3E+06,,
YNL088W,DNA topoisomerase 2;DNA topoisomerase II,N2244;TOP2;TOR3;YNL088W,P06786;Q8TF86;Q8TG43;Q8TG44;Q8TG46;Q8TG47;Q8TG53;Q8TG56;Q8TG58,15,15,15,12,164.2,2.8E-181,4.4E+07,9.5E+07,1.3E+06,,
YGR026W,Uncharacterized membrane protein YGR026W;Ygr026wp,YGR026W,P53217;Q45U57,4,4,4,13.3,33.3,2.5E-05,0.0E+00,3.3E+06,1.3E+06,,
YNL212W,Vacuolar import and degradation protein 27,N1327;VID27;YNL212W,P40157,8,8,8,11.9,88.8,1.1E-50,1.2E+07,3.6E+06,1.3E+06,,
YAL039C,Cytochrome c heme lyase;Holocytochrome-c synthase,CYC3;YAL039C,P06182,3,3,3,11.5,30.1,6.1E-07,1.0E+06,7.8E+05,1.3E+06,,
YJL033W,ATP-dependent RNA helicase DBP4;DEAD box protein 4;Helicase CA4;Helicase UF1,DBP4;HCA4;J1250;YJL033W,P20448;Q6B1G2;Q92329,7,7,7,14.4,87.2,2.1E-130,6.3E+06,4.0E+06,1.3E+06,,
YNL005C,"54S ribosomal protein L2, mitochondrial;YmL2;YMR6",MRP7;MRPL2;N2007;YNL005C,P12687,6,6,6,22.1,43.2,1.8E-152,3.2E+06,7.3E+06,1.3E+06,,
YER068W,General negative regulator of transcription subunit 4;Mot2p,CCL1;MOT2;NOT4;SIG1;SSF1;YER068W,D3DLX3;P34909,6,6,6,13.8,65.4,3.3E-38,1.7E+07,3.6E+06,1.3E+06,,
YKR009C,2-enoyl-CoA hydratase;D-3-hydroxyacyl-CoA dehydrogenase;Multifunctional beta-oxidation protein;Peroxisomal hydratase-dehydrogenase-epimerase,FOX2;YK108;YKR009C,Q02207,15,15,15,21.4,98.7,9.7E-150,0.0E+00,1.1E+07,1.3E+06,,
YIL021W,B44.5;DNA-directed RNA polymerase II 45 kDa polypeptide;DNA-directed RNA polymerase II subunit RPB3,RPB3;YIL021W,P16370,5,5,5,21.7,35.3,3.1E-136,1.2E+07,5.8E+06,1.3E+06,,
YML034W,,,,3,3,3,5.2,95.5,2.4E-09,7.0E+06,0.0E+00,1.3E+06,,
YHL002W,Class E vacuolar protein-sorting machinery protein HSE1;Hse1p,HSE1;YHL002W,D3DKR2;P38753,4,4,4,13.9,51.2,3.7E-61,0.0E+00,2.5E+06,1.3E+06,,
YMR290C,ATP-dependent RNA helicase HAS1;Helicase associated with SET1 protein 1,HAS1;YMR290C,Q03532,18,18,18,48.7,56.7,6.6E-209,7.9E+07,3.6E+07,1.3E+06,,
YHR023W,Myo1p;Myosin-1;Type II myosin,MYO1;YHR023W,D3DKX0;P08964,6,6,6,3.6,223.6,2.0E-24,1.9E+06,0.0E+00,1.3E+06,,
YHR034C,Nucleolar protein 17;Pih1p;Protein interacting with Hsp90 1,NOP17;PIH1;YHR034C,D3DKY1;P38768,3,3,3,11.3,39.5,9.0E-13,2.7E+06,0.0E+00,1.3E+06,,
YOR021C,Uncharacterized protein YOR021C,OR26.11;YOR021C,Q12314,6,6,6,32.9,24.7,1.2E-13,2.1E+07,1.7E+07,1.3E+06,,
YIL098C,"ATP synthase assembly factor FMC1, mitochondrial;Formation of mitochondrial complexes protein 1",FMC1;YIL098C,P40491,3,3,3,32.3,18.4,1.1E-05,3.8E+06,0.0E+00,1.3E+06,,
YPR098C,Uncharacterized mitochondrial outer membrane protein YPR098C,YPR098C,Q06089,2,2,2,11.8,17.7,1.5E-09,3.7E+06,3.2E+06,1.3E+06,,
YLR356W,Uncharacterized mitochondrial membrane protein YLR356W,YLR356W,Q06485,2,2,2,12.2,20.4,5.2E-05,1.7E+06,0.0E+00,1.3E+06,,
YFL044C,OTU domain-containing protein 1;Ubiquitin thioesterase OTU1,OTU1;YFL044C,P43558,5,5,5,22.9,33.5,4.3E-76,4.2E+06,1.5E+06,1.3E+06,,
YHR039C,Meiotic sister-chromatid recombination protein 7;Msc7p;Putative aldehyde dehydrogenase-like protein YHR039C,MSC7;YHR039C,D3DKY6;P38694,13,13,13,28.7,71.3,7.6E-274,1.8E+07,1.7E+07,1.3E+06,,
YJL145W,Phosphatidylinositol transfer protein SFH5;SEC14 homolog 5,J0644;SFH5;YJL145W,P47008;Q6Q535,13,13,13,50,34.4,2.2E-108,2.8E+07,1.0E+07,1.3E+06,,
YIL010W,Disrupter of telomere silencing protein 5;Nuclear thiol peroxidase;Peroxiredoxin DOT5;Thioredoxin reductase,DOT5;YIL010W,P40553,5,5,5,27,24.1,1.6E-21,9.2E+05,1.2E+06,1.3E+06,,
YDR262W,FAS1 domain-containing protein YDR262W,YD9320B.01;YDR262W,Q12331,3,3,3,14.3,30.6,1.2E-09,0.0E+00,0.0E+00,1.3E+06,,
YLL013C,mRNA-binding protein PUF3;Pumilio homology domain family member 3,L1325;PUF3;YLL013C,Q02601;Q07807,7,7,7,9.3,98.1,1.1E-32,1.3E+07,2.2E+06,1.2E+06,,
YLR201C,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9;YLR201C,Q05779,4,4,4,18.1,30.0,2.6E-16,5.0E+06,1.7E+06,1.2E+06,,
YBR272C,DNA mismatch repair protein HSM3;Enhanced spontaneous mutability protein 3,HSM3;YBR1740;YBR272C,P38348,4,4,4,9.8,55.5,2.6E-46,2.1E+06,2.2E+06,1.2E+06,,
YDR347W,"37S ribosomal protein MRP1, mitochondrial",D9651.1;MRP1;YDR347W,P10662,4,4,4,14.6,36.7,1.1E-60,8.2E+05,6.4E+05,1.2E+06,,
YNR066C;YCR100C,Uncharacterized membrane glycoprotein YNR066C;Uncharacterized protein YCR100C,N3543;YCR100C;YNR066C,P25606;P53752,3,3,3,9.2,49.7,6.2E-32,0.0E+00,0.0E+00,1.2E+06,,
YMR029C,Factor arrest protein 8,FAR8;YM9973.02C;YMR029C,Q05040,7,7,7,20.8,59.3,1.2E-33,3.0E+06,1.3E+06,1.2E+06,,
YOR091W,DRG family-regulatory protein 1;Translation machinery-associated protein 46,DFRP1;TMA46;YOR091W;YOR3160w,Q12000,7,7,7,15.9,39.5,1.7E-115,1.4E+07,4.4E+06,1.2E+06,,
YOL005C,B13.6;DNA-directed RNA polymerase II 13.6 kDa polypeptide;DNA-directed RNA polymerase II subunit RPB11,RPB11;YOL005C,P38902,8,8,8,77.5,13.6,1.7E-33,4.7E+07,0.0E+00,1.2E+06,,
YGL050W,tRNA wybutosine-synthesizing protein 3;tRNA-yW-synthesizing protein 3,TYW3;YGL050W,P53177,7,7,7,32.2,30.8,1.0E-19,5.9E+06,5.3E+05,1.2E+06,,
YHR197W,"Essential component of the Rix1 complex (Rix1p, Ipi1p, Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA; Rix1 complex associates with Mdn1p in pre-60S ribosomal particles;Involved in processing IST2 protein 2;Pre-rRNA-processing protein RIX1;Ribosomal export protein 1",IPI2;RIX1;YHR197W,D3DLE5;P38883,12,12,12,22.4,86.7,2.0E-102,6.1E+06,4.7E+06,1.2E+06,,
YHR170W,60S ribosomal export protein NMD3;Nmd3p;Nonsense-mediated mRNA decay protein 3,NMD3;YHR170W,D3DLB9;P38861,10,10,10,21.8,59.1,1.5E-188,1.2E+07,3.5E+06,1.2E+06,,
YDR399W,Bypass of repression by adenine protein 6;Hypoxanthine-guanine phosphoribosyltransferase,BRA6;D9509.18;HPT1;YDR399W,Q04178,4,4,4,24.4,25.2,4.8E-36,2.8E+07,1.9E+07,1.2E+06,,
YNL014W,Elongation factor 3B;Homolog of EF-3;Translation elongation factor 3B,HEF3;N2846;YEF3B;YNL014W;ZRG7,P53978,15,7,7,16.6,115.9,0.0E+00,0.0E+00,1.7E+06,1.2E+06,,
YMR091C,Chromatin structure-remodeling complex subunit RSC7;Nuclear protein localization protein 6;Remodel the structure of chromatin complex subunit 7,NPL6;RSC7;YM9582.16C;YMR091C,P32832,6,6,6,15.4,49.7,1.2E-22,2.6E+06,1.3E+06,1.2E+06,,
YHR052W,Cic1p;Core interacting component 1;Proteasome-interacting protein CIC1,CIC1;NSA3;YHR052W,D3DL01;P38779,17,17,17,53.7,42.5,1.1E-215,1.0E+08,2.8E+07,1.2E+06,,
YOR185C,GTP-binding nuclear protein GSP2/CNR2,CNR2;GSP2;YOR185C,P32836,11,1,1,56.8,25.0,1.8E-161,2.7E+06,2.4E+06,1.2E+06,,
YOR111W,Maf-like protein YOR111W,O3237;YOR111W;YOR3237W,Q99210,3,3,3,21.1,26.5,7.0E-67,1.7E+06,1.3E+06,1.2E+06,,
YJL128C,MAP kinase kinase PBS2;Polymyxin B resistance protein 2;Suppressor of fluoride sensitivity 4,HOG4;J0699;PBS2;SFS4;SSK4;YJL128C,P08018,9,9,9,22.2,72.7,1.3E-158,1.2E+07,3.1E+06,1.2E+06,,
YDR141C,Protein dopey,DOP1;YD9302.17C;YDR141C,Q03921,14,14,14,11.5,194.7,9.8E-135,5.2E+06,8.5E+06,1.2E+06,,
YKR067W,Dihydroxyacetone phosphate acyltransferase 2;Glycerol-3-phosphate / dihydroxyacetone phosphate acyltransferase 2;Glycerol-3-phosphate O-acyltransferase 2,GAT1;GPT2;YKR067W,P36148,6,6,6,10.4,83.6,1.7E-33,1.1E+07,8.1E+05,1.2E+06,,
YMR147W,Uncharacterized protein YMR147W,YM9375.17;YMR147W,P40218,3,3,3,17.9,25.9,1.2E-11,0.0E+00,1.1E+06,1.2E+06,,
YGR157W,Phosphatidylethanolamine N-methyltransferase,CHO2;G6673;PEM1;YGR157W,P05374,12,12,12,16.1,101.2,5.7E-210,2.4E+07,2.2E+07,1.2E+06,,
YFL007W,,,,9,9,9,5.3,246.0,7.4E-45,3.0E+06,4.2E+06,1.2E+06,,
YDL053C,PBP1-binding protein 4;Protein PBP4,D2574;PBP4;YDL053C,Q07362,5,5,5,38.9,19.9,2.0E-52,1.6E+07,4.5E+06,1.2E+06,,
YAL062W,NADP-dependent glutamate dehydrogenase 2;NADP-specific glutamate dehydrogenase 2,FUN51;GDH3;YAL062W,P39708,13,8,8,46.2,49.6,8.0E-284,0.0E+00,9.1E+06,1.2E+06,,
YJR001W,Vacuolar amino acid transporter 1,AVT1;J1409;YJR001W;YJR83.4,P47082,2,2,2,4.8,65.3,4.0E-04,0.0E+00,0.0E+00,1.2E+06,,
YBR200W,Bud emergence protein 1;Suppressor of RHO3 protein 1,BEM1;SRO1;YBR1412;YBR200W,P29366,7,7,7,17.4,61.6,3.9E-68,2.2E+06,1.9E+06,1.2E+06,,
YGR111W,Uncharacterized protein YGR111W,G6145;YGR111W,P53265,6,6,6,22.5,46.7,9.0E-152,2.0E+06,1.6E+06,1.2E+06,,
YOL061W,Phosphoribosyl pyrophosphate synthase 5;Ribose-phosphate pyrophosphokinase 5,O1213;PRPS5;PRS5;YOL061W,Q12265,12,12,12,45,53.5,3.8E-206,4.0E+07,1.7E+07,1.2E+06,,
YGR012W,Cysteine synthase;O-acetylserine (thiol)-lyase;O-acetylserine sulfhydrylase;Putative cysteine synthase,YGR012W,B5LYS4;P53206,7,7,7,22.6,42.8,3.1E-144,5.4E+06,3.2E+06,1.2E+06,,
YMR215W,"Glycolipid-anchored surface protein 3;Probable 1,3-beta-glucanosyltransferase GAS3",GAS3;YM8261.09;YMR215W,Q03655,11,11,11,27.5,56.8,1.7E-225,4.5E+07,2.0E+07,1.2E+06,,
YIR003W,Uncharacterized protein YIR003W,YIB3W;YIR003W,P40563,9,9,9,20.2,74.8,1.2E-45,5.0E+06,3.5E+06,1.2E+06,,
YLR433C,Calcineurin A1;Calmodulin-binding protein 1;Serine/threonine-protein phosphatase 2B catalytic subunit A1,CMP1;CNA1;L9753.6;YLR433C,P23287,6,5,5,15,63.0,2.7E-23,0.0E+00,1.9E+06,1.2E+06,,
YDR061W,Uncharacterized ABC transporter ATP-binding protein YDR061W,D4241;YDR061W,Q12298,7,7,7,14.3,61.2,4.5E-30,5.6E+06,1.7E+06,1.2E+06,,
YGL101W,HD domain-containing protein YGL101W,YGL101W,P53144,3,3,3,22.8,25.3,4.1E-103,1.6E+06,1.9E+06,1.2E+06,,
YKL140W,Sterol esterase TGL1;Triglyceride lipase-cholesterol esterase 1,TGL1;YKL140W;YKL5,P34163,6,6,6,15,63.0,6.1E-47,3.5E+06,2.2E+06,1.2E+06,,
YNL154C,Casein kinase I homolog 2,CKI1;N1755;YCK2;YNL154C,P23292,5,5,4,13,62.1,2.6E-77,0.0E+00,6.1E+06,1.2E+06,,
YNL182C,Involved in processing IST2 protein 3;Pre-rRNA-processing protein IPI3,IPI3;N1636;YNL182C,P53877,7,7,7,14.6,61.8,1.1E-47,4.5E+06,1.9E+06,1.2E+06,,
YNL110C,Nucleolar protein 15;Ribosome biogenesis protein 15,N1954;NOP15;YNL110C,P53927,3,3,3,10.5,25.4,4.8E-06,2.8E+07,1.6E+06,1.2E+06,,
YGL095C,Vacuolar protein sorting-associated protein 45,STT10;VPL28;VPS45;YGL095C,P38932,3,3,3,8,67.0,2.1E-129,3.5E+06,1.1E+06,1.2E+06,,
YKR082W,Nuclear pore protein NUP133;Nucleoporin NUP133,NUP133;RAT3;YKR082W;YKR402,P36161,17,17,17,21.4,133.3,3.3E-225,1.0E+07,5.7E+06,1.2E+06,,
YDL111C,Exosome complex component RRP42;Ribosomal RNA-processing protein 42,RRP42;YDL111C,Q12277,3,3,3,13.6,29.1,5.6E-08,1.8E+07,0.0E+00,1.2E+06,,
YGR156W,Protein PTI1,G6670;PTI1;YGR156W,P39927,4,4,4,10.6,47.0,2.7E-105,3.4E+06,3.1E+06,1.2E+06,,
YDR496C,Pumilio homology domain family member 6,D9719.2;PUF6;YDR496C,Q04373,13,13,13,22.1,75.1,5.6E-56,8.1E+06,1.5E+07,1.2E+06,,
YLR276C,ATP-dependent RNA helicase DBP9;DEAD box protein 9,DBP9;L9328.3;YLR276C,Q06218;Q66R46,21,21,21,40.2,68.1,1.6E-146,2.6E+08,8.0E+07,1.1E+06,,
YOR143C,Thiamine pyrophosphokinase,THI80;YOR143C;YOR3373C,P35202,2,2,2,6.6,36.6,3.4E-04,0.0E+00,5.2E+05,1.1E+06,,
YHR092C,"High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose;Low-affinity glucose transporter HXT4;Low-affinity glucose transporter LGT1",HXT4;LGT1;RAG1;YHR092C,D3DL44;P32467,3,3,3,7.9,62.0,1.1E-150,0.0E+00,1.2E+07,1.1E+06,,
YAL030W,Synaptobrevin homolog 1,SNC1;YAL030W,P31109,3,3,2,43.6,13.2,3.7E-13,5.1E+06,3.9E+06,1.1E+06,,
YLR287C,Uncharacterized protein YLR287C,YLR287C,Q05881,9,9,9,29.6,40.9,3.8E-251,1.6E+07,6.1E+06,1.1E+06,,
YGR060W,C-4 methylsterol oxidase;Methylsterol monooxygenase,ERG25;FET6;YGR060W,P53045;Q45U26,3,3,3,13.9,36.5,3.6E-15,0.0E+00,2.4E+07,1.1E+06,,
YPL214C,4-methyl-5-beta-hydroxyethylthiazole kinase;Hydroxyethylthiazole kinase;Thiamine biosynthetic bifunctional enzyme;Thiamine-phosphate pyrophosphorylase,THI6;YPL214C,P41835,3,3,3,6.5,58.1,1.0E-36,0.0E+00,0.0E+00,1.1E+06,,
YML030W,HIG1 domain-containing protein YML030W,YML030W,Q03713,1,1,1,5.7,18.5,4.3E-04,0.0E+00,6.6E+05,1.1E+06,,
YER112W,Putative uncharacterized protein;U6 snRNA-associated Sm-like protein LSm4,LSM4;SDB23;USS1;YER112W,D3DM18;P40070;Q07091,5,5,5,21.4,21.3,1.3E-14,8.7E+06,1.1E+07,1.1E+06,,
YGL006W,Calcium-transporting ATPase 2;Vacuolar Ca(2+)-ATPase,PMC1;YGL006W,P38929,10,10,10,8.2,130.9,1.4E-12,1.3E+06,4.4E+06,1.1E+06,,
YNR007C,Autophagy-related E2-like conjugation enzyme ATG3;Autophagy-related protein 3,APG3;ATG3;AUT1;N2040;YNR007C,P40344,2,2,2,9,35.9,9.7E-06,0.0E+00,8.9E+05,1.1E+06,,
YMR022W,Ubiquitin carrier protein;Ubiquitin-conjugating enzyme E2-18 kDa;Ubiquitin-protein ligase,QRI8;UBC7;YM9711.12;YMR022W,Q02159,2,2,2,11.5,18.5,1.6E-05,0.0E+00,0.0E+00,1.1E+06,,
YJR080C,Uncharacterized protein YJR080C,J1847;YJR080C,P47127,5,5,5,15.5,44.4,6.3E-33,4.2E+06,2.0E+06,1.1E+06,,
YAR042W,,,,10,10,10,9.8,135.1,1.3E-42,6.8E+06,6.6E+06,1.1E+06,,
YPR091C,Uncharacterized PH domain-containing protein YPR091C,YPR091C,Q06833,3,3,3,5.7,87.3,3.7E-38,1.1E+07,0.0E+00,1.1E+06,,
YML016C,Serine/threonine-protein phosphatase PP-Z1,PPZ1;YM9571.02C;YML016C,P26570;Q00979,4,4,3,8.1,77.5,3.9E-21,3.5E+06,1.4E+06,1.1E+06,,
YLR350W,Protein ORM2,ORM2;YLR350W,Q06144,1,1,1,12.5,24.9,1.0E-33,3.8E+06,1.8E+06,1.1E+06,,
YKL091C,CRAL-TRIO domain-containing protein YKL091C,YKL091C,P33324,7,6,6,29.7,36.1,1.1E-20,9.3E+06,0.0E+00,1.1E+06,,
YGL014W,Pumilio homology domain family member 4,PUF4;YGL014W;YGL023,P25339,7,7,7,11.4,97.8,4.3E-134,5.4E+06,7.6E+06,1.1E+06,,
YBR120C,Cytochrome B pre-mRNA-processing protein 6,CBP6;YBR0916;YBR120C,P07253,5,5,5,42,18.7,4.7E-13,4.0E+06,2.8E+05,1.1E+06,,
YFL004W,Phosphate metabolism protein 1;Vacuolar transporter chaperone 2,PHM1;VTC2;YFL004W,P43585,22,21,21,32.6,95.4,2.3E-165,3.8E+07,4.7E+07,1.1E+06,,
YMR216C,Serine/threonine-protein kinase SKY1,SKY1;YM8261.10C;YMR216C,Q03656,7,7,7,14.2,83.2,4.2E-22,2.6E+06,1.2E+06,1.1E+06,,
YPL195W,Adapter-related protein complex 3 subunit delta;AP-3 complex subunit delta;Delta-adaptin 3,APL5;YKS4;YPL195W,Q02737;Q08951;Q7LIB1,15,15,15,20.7,106.9,2.2E-218,1.5E+07,9.3E+06,1.1E+06,,
YML035C,AMP deaminase;Myoadenylate deaminase,AMD;AMD1;YML035C,P15274,8,8,8,12.2,93.3,9.2E-91,1.4E+07,1.0E+07,1.1E+06,,
YGR004W,Peroxin-31;Peroxisomal membrane protein PEX31,PEX31;YGR004W,P53203,2,2,2,8.2,52.9,8.4E-06,0.0E+00,8.1E+05,1.1E+06,,
YHR025W,"Homoserine kinase;Homoserine kinase, conserved protein required for threonine biosynthesis; expression is regulated by the GCN4-mediated general amino acid control pathway",THR1;YHR025W,D3DKX2;P17423,3,3,3,16.5,38.7,6.7E-48,3.3E+07,2.0E+07,1.1E+06,,
YPL125W,Importin beta-like protein KAP120;Karyopherin-120,KAP120;YPL125W,Q02932,5,5,5,5.8,119.6,4.5E-33,0.0E+00,1.7E+06,1.1E+06,,
YBR269C,"Found in mitochondrial proteome protein 21;Protein FMP21, mitochondrial",FMP21;YBR1737;YBR269C,P38345,3,3,3,24.6,15.5,1.3E-29,5.0E+06,2.3E+06,1.1E+06,,
YBR087W,Activator 1 40 kDa subunit;Replication factor C subunit 5,RFC5;YBR0810;YBR087W,P38251,5,5,5,20.3,39.9,8.2E-126,8.2E+06,2.6E+06,1.1E+06,,
YLR398C,Antiviral helicase SKI2;Superkiller protein 2,L8084.17;SKI2;YLR398C,P35207;Q06047,16,16,16,14.1,146.1,1.2E-146,1.4E+07,8.9E+06,1.1E+06,,
YGL232W,tRNA acetyltransferase TAN1,TAN1;YGL232W,P53072,9,9,9,39.8,33.6,4.5E-63,1.6E+07,1.7E+07,1.1E+06,,
YLR401C,tRNA-dihydrouridine synthase 3,DUS3;L8084.19;YLR401C,P39519;Q06053,6,6,6,11.1,76.6,1.4E-41,4.9E+06,8.1E+05,1.1E+06,,
YKL130C,Uncharacterized protein YKL130C,YKL130C,P36068,3,3,3,15,28.3,3.2E-39,0.0E+00,1.3E+06,1.1E+06,,
YER087W,"Aim10p;Altered inheritance rate of mitochondria protein 10;Probable prolyl-tRNA synthetase, mitochondrial;Proline--tRNA ligase",AIM10;YER087W,D3DLZ3;P39965,3,3,3,5.9,65.9,2.3E-09,2.1E+06,5.0E+05,1.1E+06,,
YLR409C,U three protein 21;U3 small nucleolar RNA-associated protein 21,L8084.22;UTP21;YLR409C,Q06078,3,3,3,3.4,104.8,2.3E-14,1.1E+06,0.0E+00,1.1E+06,,
YBR251W,"37S ribosomal protein S5, mitochondrial",MRPS5;YBR1704;YBR251W,P33759,4,4,4,17.3,34.9,4.0E-19,9.2E+06,2.6E+06,1.0E+06,,
YML013W,Secretion lowering protein 1;UBX domain-containing protein 2,SEL1;UBX2;YM9571.05;YML013W,Q04228,2,2,2,5.3,66.8,2.1E-37,3.8E+06,0.0E+00,1.0E+06,,
YLR250W,Protein SSP120,L9672.4;SSP120;YLR250W,P39931,2,2,2,9.4,27.3,3.7E-07,3.8E+06,7.4E+06,1.0E+06,,
YFR050C,Macropain subunit PRE4;Multicatalytic endopeptidase complex subunit PRE4;Proteasome component PRE4;Proteinase YSCE subunit PRE4,PRE4;YFR050C,P30657,3,3,3,9.8,29.4,1.6E-06,2.1E+07,1.0E+07,1.0E+06,,
YOR001W,Exosome complex exonuclease RRP6;Ribosomal RNA-processing protein 6,RRP6;UNC733;YOR001W,Q12149;Q6B280,7,7,7,14.7,84.0,1.0E-160,6.5E+06,3.3E+06,1.0E+06,,
YGL210W,GTP-binding protein YPT32/YPT11;Rab GTPase YPT32,YGL210W;YPT11;YPT32,P51996,6,5,5,46.8,24.5,7.9E-77,0.0E+00,5.8E+06,1.0E+06,,
YOL094C,Activator 1 37 kDa subunit;Replication factor C subunit 4,O0923;RFC4;YOL094C,P40339,6,6,6,22.3,36.1,4.4E-20,4.2E+06,1.7E+06,1.0E+06,,
YGR128C,t-UTP8;U three protein 8;U3 protein 8 required for transcription;U3 small nucleolar RNA-associated protein 8,UTP8;YGR128C,P53276,14,14,14,24.7,80.2,0.0E+00,1.8E+07,7.7E+06,1.0E+06,,
YJL125C,General control non-derepressible protein 14;tRNA (adenine-N(1)-)-methyltransferase catalytic subunit TRM61;tRNA(m1A58)-methyltransferase subunit TRM61,GCD14;J0710;TRM61;YJL125C,P46959,5,5,5,16.4,43.9,1.6E-36,8.2E+05,1.1E+06,1.0E+06,,
YDR231C,"Cytochrome c oxidase protein 20, mitochondrial",COX20;YD9934.15c;YDR231C,Q04935,2,2,2,10.2,23.8,7.6E-13,0.0E+00,0.0E+00,1.0E+06,,
YPR002W,Probable 2-methylcitrate dehydratase,LPZ2W;PDH1;YP9723.02;YPR002W,Q12428,5,5,5,13.4,57.7,1.7E-27,0.0E+00,3.9E+06,1.0E+06,,
YHR005C,GP1-alpha;Guanine nucleotide-binding protein alpha-1 subunit;Putative uncharacterized protein,CDC70;DAC1;GPA1;SCG1;YHR005C,D3DKU8;P08539,11,11,11,24.2,54.1,3.5E-199,1.8E+07,4.0E+06,1.0E+06,,
YFL033C,Serine/threonine-protein kinase RIM15,RIM15;TAK1;YFL033C,P43565,1,1,1,0.6,196.5,2.4E-19,3.8E+05,3.0E+05,1.0E+06,,
YDR196C,Dephospho-CoA kinase CAB5;Dephosphocoenzyme A kinase,CAB5;YD9346.07C;YDR196C,Q03941,4,4,4,23.7,27.3,4.7E-34,2.5E+06,0.0E+00,1.0E+06,,
YOR160W,mRNA transport regulator MTR10,MTR10;YOR160W,Q99189,3,3,3,4.1,110.7,5.9E-18,0.0E+00,1.5E+06,1.0E+06,,
YMR140W,Protein SIP5;SNF1-interacting protein 5,SIP5;YM9375.09;YMR140W,P40210,3,3,3,9,55.9,1.3E-20,0.0E+00,8.7E+05,1.0E+06,,
YPR143W,Ribosomal RNA-processing protein 15,RRP15;YPR143W,Q06511,3,3,3,10.8,28.2,7.2E-31,3.0E+06,3.5E+06,1.0E+06,,
YBR112C,General transcriptional corepressor CYC8;Glucose repression mediator protein CYC8,CRT8;CYC8;SSN6;YBR0908;YBR112C,P14922,8,8,8,13.3,107.2,2.9E-93,9.8E+06,9.6E+06,1.0E+06,,
YPR125W,"LETM1 domain-containing protein YLH47, mitochondrial;LETM1 homolog",MRS7;YLH47;YPR125W,P89103;Q06493,3,3,3,7.5,52.2,5.5E-11,3.7E+06,3.3E+06,1.0E+06,,
YOR281C,Phosducin-like protein 2;Viral IAP-associated factor 1 homolog,PLP2;VIAF1;YOR281C,Q12017,7,7,7,35.7,32.8,5.0E-18,2.6E+07,4.5E+06,1.0E+06,,
YNL284C,"54S ribosomal protein L10, mitochondrial;YmL10/YmL18",MRPL10;MRPL18;N0580;YNL284C,P36520;P36524,4,4,4,11.5,36.3,2.2E-28,3.7E+06,9.7E+05,1.0E+06,,
YCR052W,Chromatin structure-remodeling complex protein RSC6;Remodel the structure of chromatin complex subunit 6,RSC6;YCR052W;YCR52W,P25632,6,6,6,18.6,54.2,5.7E-157,4.5E+06,6.3E+06,1.0E+06,,
YGR245C,Protein SDA1;Severe depolymerization of actin protein 1,SDA1;YGR245C,P53313,7,7,7,17.2,86.6,8.0E-103,2.2E+07,3.0E+06,1.0E+06,,
YBR234C,Actin-related protein 2/3 complex subunit 1;Arp2/3 complex 41 kDa subunit;p41-ARC,ARC40;YBR1532;YBR234C,P38328,6,6,6,20.8,42.5,1.1E-91,5.7E+07,1.6E+07,9.9E+05,,
YLR450W,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2,HMG2;L9324.2;YLR450W,P12684,10,10,7,12.6,115.7,5.5E-139,9.5E+06,9.7E+06,9.9E+05,,
YNR019W,Sterol O-acyltransferase 2;Sterol-ester synthase 2,ARE2;N3206;SAT1;YNR019W,P53629;Q12673,2,2,2,6.9,74.0,1.5E-12,9.5E+05,0.0E+00,9.8E+05,,
YBR003W,"Hexaprenyl pyrophosphate synthase, mitochondrial",COQ1;YBR003W;YBR0109,P18900,3,3,3,8.2,52.6,1.1E-06,0.0E+00,0.0E+00,9.8E+05,,
YNL048W,"Alpha-1,2-mannosyltransferase ALG11;Asparagine-linked glycosylation protein 11",ALG11;N2510;YNL048W;YNL2510W,P53954,6,6,6,13.5,63.1,1.9E-43,2.6E+06,1.9E+05,9.8E+05,,
